test_mstar,z5_fit,z5_q16,z5_q84,z7_fit,z7_q16,z7_q84,z10_fit,z10_q16,z10_q84
5,6.42025686462814,6.13561870069743,6.74017773704031,7.99849158417259,6.94878083732311,8.85963975449958,9.59707572963196,7.49686892751772,12.6774229175829
5.01,6.42644664853096,6.14245897973094,6.74546092914884,8.00028596250771,6.95369234197597,8.85894101603243,9.59503740773911,7.50059545316041,12.6675373392969
5.02,6.43251463111575,6.14930031987975,6.75074507360203,8.00208034084284,6.95860384662884,8.85824227756527,9.59330317004525,7.50432197880309,12.6576517610108
5.03,6.43858422947478,6.15614272434191,6.75603017084417,8.00387471917796,6.9635153512817,8.85702438811442,9.5915689323514,7.50804850444578,12.6477661827248
5.04,6.4441710289832,6.16298619631546,6.76131622131954,8.00566909751309,6.96842685593457,8.85544003813484,9.58983469465755,7.51177503008846,12.6378806044387
5.05,6.44975275548732,6.16983073899844,6.76660322547243,8.00746347584821,6.97333836058743,8.85385568815526,9.5881004569637,7.51550155573115,12.62784025877
5.06,6.45533791053976,6.17667635558891,6.77189118374714,8.00925785418334,6.97824986524029,8.85227133817567,9.58636621926984,7.51922808137384,12.6173980678476
5.07,6.46094812223504,6.18352304928489,6.77718009658795,8.01105223251846,6.98316136989316,8.85068698819609,9.58463198157599,7.52295460701652,12.6069558769252
5.08,6.46707372802639,6.19037082328444,6.78246996443916,8.01284661085359,6.98807287454602,8.84974928213349,9.58289774388214,7.52668113265921,12.5965136860029
5.09,6.47320000378987,6.19721968078561,6.78776078774506,8.01464098918872,6.99300141190481,8.84894685931376,9.58116350618829,7.53040765830189,12.5860714950805
5.1,6.47932694983322,6.20419777301489,6.79305256694993,8.01643536752384,6.99809659674932,8.84814443649402,9.57942926849443,7.53503221516301,12.5756293041581
5.11,6.48545456646414,6.21123822033931,6.79834530249808,8.01822974585897,7.00319178159382,8.84734201367429,9.57769503080058,7.53971557658669,12.5651871132357
5.12,6.49158285399037,6.2178672655358,6.80363899483378,8.02002412419409,7.00828696643833,8.84653959085456,9.57596079310673,7.54439893801037,12.5547449223133
5.13,6.49771181271962,6.22462600976728,6.80893364440132,8.02181850252921,7.01349405001553,8.84573716803482,9.57422655541288,7.54908229943405,12.5443027313909
5.14,6.50379168460867,6.23148033274718,6.81422925164501,8.02361288086434,7.01874853589102,8.84493474521509,9.57249231771903,7.55376566085773,12.5338605404686
5.15,6.509787698652,6.23833575841695,6.81952581700912,8.02551639202253,7.02400302176652,8.84413232239535,9.57075808002517,7.55844902228141,12.5234183495462
5.16,6.51610271920272,6.24519228997464,6.82482334093796,8.0276791207493,7.02925750764201,8.84332989957562,9.56902384233132,7.56313238370509,12.5129761586238
5.17,6.52223436582128,6.2520499306183,6.83012182387581,8.02984184947607,7.0345119935175,8.84220224634835,9.56728960463747,7.56781574512877,12.5025339677014
5.18,6.52836668518146,6.25890868354598,6.83542126626695,8.03189787644326,7.03976647939299,8.84054546893867,9.56555536694362,7.57249910655245,12.492091776779
5.19,6.53449967759099,6.26576855195571,6.84041385463474,8.03365985898907,7.04475930571648,8.83888869152899,9.56382112924977,7.57718246797613,12.4816495858566
5.2,6.54086777369342,6.27262953904553,6.84540113711442,8.03542184153489,7.04950049141507,8.83723191411931,9.5617289998438,7.58186582939981,12.4712073949343
5.21,6.5473023948939,6.27949164801351,6.85071528682314,8.03718382408071,7.05424167711365,8.83557513670963,9.55938737364419,7.58654919082349,12.4607652040119
5.22,6.55373756129668,6.28635488205767,6.85603050999199,8.03894580662652,7.05923881488339,8.83391835929995,9.55704574744458,7.59123255224717,12.4503230130895
5.23,6.56017327306675,6.29321924437607,6.86134680960331,8.04070778917234,7.06433399972789,8.83226158189027,9.55470412124497,7.59591591367086,12.4398808221671
5.24,6.56641971756112,6.30008473816675,6.86678261426784,8.04246977171816,7.0694291845724,8.83060480448059,9.55236249504536,7.60059927509454,12.4294386312447
5.25,6.57252495991037,6.30695136662774,6.87253189328562,8.04423175426397,7.0745243694169,8.82935718792328,9.55002086884575,7.60528263651822,12.4189964403223
5.26,6.57863182684814,6.31381913295711,6.87785139902975,8.04599373680979,7.07961955426141,8.82844702591174,9.54870987696411,7.6099659979419,12.4085542494
5.27,6.58474031875768,6.32068804035288,6.88315949649366,8.0477557193556,7.08471473910591,8.82753686390021,9.54756571723376,7.61464935936558,12.3981120584776
5.28,6.5908504360222,6.32755809201312,6.88846855785378,8.04951770190142,7.08980992395042,8.82668691215284,9.54642155750342,7.61933272078926,12.3876698675552
5.29,6.59696217902493,6.33442929113585,6.89377858355439,8.05127968444724,7.09490510879493,8.82602503074844,9.54527739777308,7.62401608221294,12.3772276766328
