CSFH_with_AGN,CSFH_with_AGN_q16,CSFH_with_AGN_q84,CSFH_without_AGN,CSFH_without_AGN_q16,CSFH_without_AGN_q84,z,z16,z74,zmin,zmax
-1.50462722267957,0.0518761314343205,0.0636149061317802,-1.40334706447617,0.0505340867129377,0.0569380956321676,5.269,4.55728,5.80248,3.796,6.272
-2.43167916224809,0.152447242805791,0.242307106385321,-2.26006613148078,0.135465718713425,0.236944613941377,7.487,7.0332,8.75724,6.542,8.998
-3.70956403154471,0.339739520806836,1.49714317243586,-2.90233878625815,0.402129944512543,6.75348096622373,10.57,9.962,11.5754,9.77,12.117
