mstar,z5_smf,z6_smf,z7_smf,z7_smf.1,z9_smf,z10_smf
5,1.7941755124428,7.64562845963107,0.56991638241677,0.56991638241677,0.552334225373779,0.0539761563443052
5.01,1.76548858586376,7.49226502579425,0.559256493216901,0.559256493216901,0.539761165860719,0.0527474701705598
5.02,1.73726033121438,7.34197788159206,0.548795986706002,0.548795986706002,0.527474304123561,0.0515467523087309
5.03,1.70948341483557,7.19470532021861,0.538531133615039,0.538531133615039,0.515467125505574,0.0503733661223148
5.04,1.68215062032535,7.05038687263488,0.528458274427461,0.528458274427461,0.503733263641724,0.049226689466424
5.05,1.65525484666396,6.90896328274053,0.518573818074536,0.518573818074536,0.492266497083134,0.0481061143579173
5.06,1.62878910636912,6.77037648304377,0.508874240655108,0.508874240655108,0.481060745998392,0.0470110466530398
5.07,1.60274652368064,6.63456957081923,0.499356084179282,0.499356084179282,0.470110068949948,0.0459409057323992
5.08,1.5771203327741,6.50148678474417,0.490015955335622,0.490015955335622,0.459408659743884,0.0448951241931147
5.09,1.55190387600314,6.37107348200317,0.480850524281397,0.480850524281397,0.448950844351386,0.0438731475479714
5.1,1.52709060216977,6.24327611585225,0.471856523455459,0.471856523455459,0.438731077900309,0.0428744339314246
5.11,1.50267406482242,6.11804221363291,0.463030746413324,0.463030746413324,0.428743941735205,0.0418984538122952
5.12,1.4786479205811,5.99532035522723,0.454370046684045,0.454370046684045,0.418984140544285,0.0409446897130056
5.13,1.45500592748948,5.87506015194513,0.445871336648459,0.445871336648459,0.409446499551771,0.0400126359352058
5.14,1.43174194339315,5.75721222583514,0.43753158643842,0.43753158643842,0.400125961774163,0.0391017982916454
5.15,1.40884992434398,5.6417281894101,0.429347822856621,0.429347822856621,0.391017585338958,0.0382116938441496
5.16,1.38632392302984,5.52856062577971,0.421317128316623,0.421317128316623,0.38211654086441,0.0373418506475583
5.17,1.36415808722956,5.41766306918134,0.413436639802696,0.413436639802696,0.373418108898916,0.0364918074994951
5.18,1.34234665829247,5.30898998590162,0.405703547849135,0.405703547849135,0.364917677418711,0.0356611136958311
5.19,1.32088396964235,5.20249675558057,0.398115095538649,0.398115095538649,0.356610739382509,0.034849328791716
5.2,1.29976444530526,5.09813965289082,0.390668577519501,0.390668577519501,0.348492890341807,0.0340560223680486
5.21,1.2789825984609,4.99587582958426,0.38336133904101,0.38336133904101,0.340559826105592,0.0332807738032623
5.22,1.25853303001712,4.89566329689885,0.376190775007117,0.376190775007117,0.332807340458199,0.0325231720503065
5.23,1.2384104272073,4.79746090831835,0.369154329047637,0.369154329047637,0.32523132292912,0.0317828154187036
5.24,1.21860956221005,4.70122834267787,0.362249492606886,0.362249492606886,0.317827756613583,0.0310593113615678
5.25,1.19912529079104,4.6069260876082,0.355473804049358,0.355473804049358,0.310592716042729,0.0303522762674714
5.26,1.17995255096656,4.5145154233124,0.348824847782125,0.348824847782125,0.30352236510228,0.0296613352570487
5.27,1.16108636168839,4.42395840666764,0.342300253393654,0.342300253393654,0.296612954998579,0.0289861219842303
5.28,1.14252182154974,4.33521785564606,0.335897694808732,0.335897694808732,0.289860822270934,0.0283262784420014
5.29,1.12425410751189,4.24825733404813,0.329614889459196,0.329614889459196,0.283262386849197,0.0276814547725819
5.3,1.10627847365117,4.16304113654209,0.323449597470176,0.323449597470176,0.276814150155567,0.0270513090819271
5.31,1.08859024992594,4.07953427400371,0.317399620861551,0.317399620861551,0.270512693249597,0.0264355072584508
5.32,1.07118484096335,3.99770245914989,0.311462802764355,0.311462802764355,0.264354675015424,0.0258337227958749
5.33,1.05405772486547,3.91751209246064,0.305637026651827,0.305637026651827,0.258336830390271,0.0252456366201121
5.34,1.0372044520345,3.8389302483833,0.299920215584847,0.299920215584847,0.252455968633261,0.0246709369200876
5.35,1.02062064401677,3.76192466181352,0.294310331471487,0.294310331471487,0.24670897163365,0.0241093189824134
5.36,1.0043019923652,3.68646371484746,0.288805374340411,0.288805374340411,0.241092792257555,0.023560485029825
5.37,0.988244257520038,3.61251642379973,0.283403381627866,0.283403381627866,0.235604452732335,0.0230241440632962
5.38,0.972443267707358,3.54005242648164,0.278102427478007,0.278102427478007,0.230241043067726,0.0225000117077472
5.39,0.956894917855273,3.46904196973474,0.272900622056307,0.272900622056307,0.22499971951293,0.0219878100612653
5.4,0.94159516852744,3.39945589721435,0.267796110875817,0.267796110875817,0.219877703048822,0.0214872675477577
5.41,0.926540044873617,3.33126563741823,0.262787074136021,0.262787074136021,0.214872277914474,0.0209981187729585
5.42,0.911725635597002,3.26444319195523,0.257871726074056,0.257871726074056,0.209980790167225,0.0205201043837125
5.43,0.897148091938086,3.19896112404942,0.253048314328072,0.253048314328072,0.205200646275527,0.0200529709304632
5.44,0.882803626674747,3.13479254727471,0.248315119312497,0.248315119312497,0.200529311743813,0.0195964707328705
5.45,0.86868851313834,3.07191111451548,0.243670453604987,0.243670453604987,0.195964309768684,0.0191503617484872
5.46,0.854799084245511,3.01029100714863,0.239112661344842,0.239112661344842,0.191503219925666,0.0187144074444248
5.47,0.841131731545492,2.94990692444264,0.234640117642678,0.234640117642678,0.187143676885877,0.0182883766719407
5.48,0.827682904282634,2.89073407316925,0.230251228001132,0.230251228001132,0.18288336916189,0.0178720435438801
5.49,0.814449108473926,2.83274815742357,0.225944427746415,0.225944427746415,0.178720037882159,0.0174651873149079
5.5,0.801426906001261,2.77592536864833,0.221718181470481,0.221718181470481,0.174651475593331,0.0170675922644659
5.51,0.788612913718216,2.72024237585822,0.217570982483648,0.217570982483648,0.170675525089827,0.0166790475823956
5.52,0.776003802571121,2.6656763160604,0.21350135227744,0.21350135227744,0.166790078270061,0.0162993472571637
5.53,0.76359629673417,2.61220478486711,0.209507839997488,0.209507839997488,0.1629930750187,0.0159282899666316
5.54,0.751387172758371,2.55980582729656,0.205589021926286,0.205589021926286,0.159282502114361,0.0155656789713126
5.55,0.739373258734096,2.50845792875837,0.201743500975618,0.201743500975618,0.155656392162175,0.0152113220100571
5.56,0.727551433467021,2.45814000621985,0.197969906188486,0.197969906188486,0.152112822550647,0.0148650311981138
5.57,0.71591862566725,2.40883139954943,0.194266892250348,0.194266892250348,0.148649914432265,0.0145266229275106
5.58,0.704471813151392,2.36051186303378,0.190633139009499,0.190633139009499,0.145265831727308,0.0141959177697029
5.59,0.693208022057407,2.31316155706505,0.187067351006424,0.187067351006424,0.141958780150332,0.0138727403804387
5.6,0.682124326072,2.26676103999484,0.183568257011956,0.183568257011956,0.138727006258816,0.0135569194067885
5.61,0.671217845670364,2.22129126015164,0.180134609574067,0.180134609574067,0.135568796523466,0.0132482873962916
5.62,0.660485747368092,2.17673354801833,0.17676518457314,0.17676518457314,0.132482476419677,0.0129466807081709
5.63,0.649925242985037,2.13306960856658,0.173458780785559,0.173458780785559,0.129466409539677,0.0126519394265681
5.64,0.639533588920944,2.09028151374507,0.170214219455458,0.170214219455458,0.126518996724883,0.0123639072757542
5.65,0.629308085442672,2.04835169511836,0.167030343874484,0.167030343874484,0.123638675218008,0.0120824315372705
5.66,0.619246075982808,2.00726293665339,0.163906018969423,0.163906018969423,0.120823917834464,0.0118073629689545
5.67,0.609344946449486,1.96699836765072,0.160840130897526,0.160840130897526,0.118073232152628,0.0115385557258104
5.68,0.59960212454726,1.9275414558175,0.157831586649423,0.157831586649423,0.115385159722541,0.0112758672826798
5.69,0.590015079108818,1.88887600047949,0.154879313659444,0.154879313659444,0.11275827529262,0.011019158358673
5.7,0.580581319437395,1.85098612592912,0.151982259423249,0.151982259423249,0.110191186053971,0.0107682928433207
5.71,0.571298394659686,1.81385627490705,0.14913939112259,0.14913939112259,0.107682530901898,0.0105231377244059
5.72,0.562163893089118,1.7774712022145,0.146349695257108,0.146349695257108,0.105230979714235,0.0102835630174396
5.73,0.553175441599296,1.74181596845361,0.143612177283007,0.143612177283007,0.102835232646091,0.010049441696741
5.74,0.544330705007469,1.70687593389352,0.14092586125849,0.14092586125849,0.100494019440659,0.00982064962808692
5.75,0.535627385467851,1.6726367524593,0.138289789495822,0.138289789495822,0.0982060987557095,0.00959706550289415
5.76,0.527063221874646,1.63908436584164,0.135703022219913,0.135703022219913,0.0959702575054096,0.00937857077390001
5.77,0.518635989274613,1.60620499772453,0.133164637233271,0.133164637233271,0.093785310217134,0.00916504959230707
5.78,0.510343498289031,1.57398514812887,0.130673729587233,0.130673729587233,0.0916500984029089,0.00895638874635854
5.79,0.502183594544898,1.54241158786942,0.128229411259342,0.128229411259342,0.0895634899451681,0.00875247760131198
5.8,0.494154158115231,1.51147135312302,0.125830810836754,0.125830810836754,0.0875243784964875,0.0085532080407792
5.81,0.486253102968307,1.48115174010573,0.123477073205579,0.123477073205579,0.0855316828929859,0.00835847440940152
5.82,0.478478376425723,1.45144029985672,0.121167359246014,0.121167359246014,0.0835843465810783,0.00816817345683003
5.83,0.470827958629103,1.42232483312684,0.118900845533198,0.118900845533198,0.0816813370572759,0.00798220428298072
5.84,0.463299862015353,1.39379338536972,0.116676724043644,0.116676724043644,0.0798216453207398,0.00780046828453602
5.85,0.455892130800286,1.36583424183323,0.11449420186718,0.11449420186718,0.0780042853382955,0.007622869102664
5.86,0.448602840470516,1.33843592274958,0.112352500924259,0.112352500924259,0.0762282935216244,0.00744931257192761
5.87,0.441430097283474,1.31158717862176,0.110250857688573,0.110250857688573,0.0744927282163575,0.00727970667035698
5.88,0.434372037775412,1.28527698560457,0.108188522914846,0.108188522914846,0.0727966692027971,0.00711396147065809
5.89,0.427426828277281,1.25949454097833,0.10616476137172,0.10616476137172,0.0711392172080041,0.00695198909253217
5.9,0.420592664438347,1.23422925871333,0.104178851579636,0.104178851579636,0.0695194934289916,0.00679370365608035
5.91,0.413867770757422,1.20947076512334,0.102230085553624,0.102230085553624,0.0679366390667728,0.00663902123626911
5.92,0.407250400121592,1.18520889460615,0.100317768550898,0.100317768550898,0.0663898148710132,0.00648785981843197
5.93,0.400738833352317,1.16143368546974,0.0984412188231678,0.0984412188231678,0.0648782006950493,0.00634013925478434
5.94,0.394331378758796,1.13813537584202,0.0965997673735973,0.0965997673735973,0.0634009950610366,0.00619578122192805
5.95,0.388026371698467,1.11530439966272,0.0947927577182947,0.0947927577182947,0.0619574147349948,0.0060547091793233
5.96,0.381822174144531,1.09293138275556,0.0930195456522718,0.0930195456522718,0.060546694311527,0.00591684832870577
5.97,0.375717174260401,1.07100713897938,0.0912794990197778,0.0912794990197778,0.0591680858079915,0.00578212557442766
5.98,0.369709785980943,1.04952266645626,0.0895719974889299,0.0895719974889299,0.0578208582679116,0.00565046948470137
5.99,0.363798448600428,1.02846914387553,0.0878964323305593,0.0878964323305593,0.056504297373413,0.00552181025372549
6,0.357981626367052,1.0078379268717,0.0862522062011918,0.0862522062011918,0.0552177050664827,0.00539607966467271
6.01,0.352257808083959,0.987620544475216,0.0846387329300907,0.0846387329300907,0.0539603991788493,0.00527321105352049
6.02,0.346625506716629,0.967808695634294,0.0830554373102799,0.0830554373102799,0.0527317130702889,0.00515313927370484
6.03,0.341083259006552,0.94839424580659,0.0815017548934774,0.0815017548934774,0.051530995275163,0.00503580066157873
6.04,0.335629625091073,0.929369223619211,0.0799771317888643,0.0799771317888643,0.0503576091570034,0.00492113300265689
6.05,0.33026318812932,0.910725817595717,0.0784810244656167,0.0784810244656167,0.0492109325709585,0.00480907549862873
6.06,0.324982553934109,0.892456372948789,0.0770128995591317,0.0770128995591317,0.0480903575339243,0.00469956873512235
6.07,0.319786350609741,0.874553388437232,0.0755722336808784,0.0755722336808784,0.0469952899021836,0.00459255465020226
6.08,0.314673228195577,0.857009513286007,0.0741585132318038,0.0741585132318038,0.0459251490563831,0.00448797650358412
6.09,0.309641858315331,0.839817544168063,0.0727712342192301,0.0727712342192301,0.0448793675936814,0.00438577884655035
6.1,0.30469093383195,0.822970422246698,0.0714099020771767,0.0714099020771767,0.0438573910269042,0.00428590749255042
6.11,0.299819168508028,0.806461230277252,0.070074031490042,0.070074031490042,0.0428586774905484,0.00418830948847049
6.12,0.295025296671643,0.790283189766936,0.0687631462195846,0.0687631462195846,0.0418826974534776,0.00409293308655694
