mstar,z5_withAGN,z5_withAGN_q16,z5_withAGN_q84,z7_withAGN,z7_withAGN_q16,z7_withAGN_q84,z10_withAGN,z10_withAGN_q16,z10_withAGN_q84,z5_withoutAGN,z5_withoutAGN_q16,z5_withoutAGN_q84,z7_withoutAGN,z7_withoutAGN_q16,z7_withoutAGN_q84,z10_withoutAGN,z10_withoutAGN_q16,z10_withoutAGN_q84
5.29,-3.13627347173556,-3.93490659943666,-2.35838870342683,-3.78724363248876,-4.87633497991696,-2.72175670324682,-3.21161669524943,-5.34748292993825,-1.18823783403759,-3.34228258789441,-4.11320572392474,-2.57499843536629,-2.91228091389617,-3.69670020797708,-2.12941015028054,-2.51436705826847,-5.20254173723735,0.17415928702853
5.3,-3.12644161210838,-3.92245875791714,-2.35059717581224,-3.77540215972188,-4.86162245551011,-2.71248793576276,-3.20140427636081,-5.32971296252351,-1.18299075678997,-3.33188559629376,-4.10041315678079,-2.56610691312452,-2.9028370914896,-3.68525222424255,-2.12227078005351,-2.50603444350577,-5.18704351144715,0.176486841408741
5.31,-3.11660975248121,-3.91012602798307,-2.34280564819766,-3.763560686955,-4.84690993110325,-2.70321916827869,-3.19155129492269,-5.31224905769055,-1.17774367954235,-3.32179600785127,-4.08721099225029,-2.55721539088275,-2.89346195730778,-3.67367425316432,-2.11501784686786,-2.49770182874306,-5.17180727570841,0.178814395788952
5.32,-3.10688453719649,-3.89793941935478,-2.33501412058307,-3.75170147752331,-4.83219740669639,-2.69395040079462,-3.1809312040921,-5.29527506989491,-1.17249660229473,-3.31109286379694,-4.07408432836836,-2.54832386864097,-2.88413664382084,-3.66209628208609,-2.10753188797214,-2.48936921398036,-5.15534500108903,0.181141950169163
5.33,-3.09737809102088,-3.88575281072649,-2.32659360564444,-3.73987774142124,-4.81748488228953,-2.68468163331055,-3.17016325930756,-5.27830108209927,-1.16724952504711,-3.30033286532999,-4.0615159892057,-2.53946486607239,-2.87463520642452,-3.65051831100785,-2.10004592907641,-2.48103659921766,-5.13888272646966,0.183469504549374
5.34,-3.08757964643006,-3.87356620209819,-2.31852781963289,-3.72803626865436,-4.80277235788267,-2.67541286582649,-3.15939531452302,-5.26238226810136,-1.16200244779949,-3.28980995764345,-4.04887010206431,-2.53096915451356,-2.86506180186335,-3.63894033992962,-2.09262985559723,-2.47270398445496,-5.12242045185028,0.185797058929585
5.35,-3.07771252975088,-3.86142283876408,-2.31068827353001,-3.71629428497449,-4.78805983347581,-2.66614409834242,-3.14862736973848,-5.24599604541448,-1.15675537055187,-3.27931543159326,-4.03626298891228,-2.52253448027387,-2.85561797945678,-3.62729201718172,-2.08526695319348,-2.46437136969226,-5.10614707218474,0.187771824244579
5.36,-3.06778854148856,-3.84970120912225,-2.30284872742714,-3.70464616661433,-4.77334730906896,-2.65714560526496,-3.13785942495394,-5.2287657914629,-1.15150829330425,-3.26882090554307,-4.02365587576026,-2.5139040424339,-2.84617415705022,-3.61560681544782,-2.07758805238923,-2.45603875492955,-5.09008129467597,0.189426208928911
5.37,-3.05789298901781,-3.83804823912289,-2.29500918132427,-3.69273943699683,-4.75861944197038,-2.64837439008053,-3.12687303566533,-5.21346271609046,-1.14626121605663,-3.25832637949288,-4.01086518677313,-2.50539163766532,-2.83673033464365,-3.60392161371392,-2.07010209349351,-2.44770614016685,-5.07323290727331,0.191080593613244
5.38,-3.04799743654706,-3.82644456587217,-2.28716963522139,-3.68067037758685,-4.74368622630104,-2.63922612285728,-3.11598907891609,-5.1962837749889,-1.14101413880901,-3.24783185344269,-3.99807261962918,-2.49702867058851,-2.82728651223709,-3.59223641198002,-2.06261613459778,-2.43937352540415,-5.05657135337277,0.192734978297576
5.39,-3.03809240100554,-3.81484089262145,-2.27889782317289,-3.66889479355948,-4.72875301063171,-2.62997675656793,-3.10507588456868,-5.18004276675189,-1.13576706156139,-3.2373373273925,-3.98528005248523,-2.48869040092306,-2.81784268983053,-3.58055121024612,-2.05513017570205,-2.43104091064145,-5.04010907875339,0.194389362981908
5.4,-3.02812301583661,-3.80323721937073,-2.27048457134323,-3.65709746608729,-4.71381979496237,-2.62072739027857,-3.09442180350061,-5.16337902071617,-1.13051998431377,-3.22684280134231,-3.97248748534128,-2.4798642600132,-2.80839886742396,-3.56886600851222,-2.04764421680633,-2.42270829587874,-5.02364680413401,0.196043747666241
