wave,flux
33828.105,9.23569199565847e-21
33876.5,9.17546890557189e-21
33924.895,9.11083560664142e-21
33973.29,9.13098464338607e-21
34021.685,9.10184022833977e-21
34070.08,9.11888303851527e-21
34118.475,9.10105997973242e-21
34166.87,9.11677238567401e-21
34215.265,9.07973411219998e-21
34263.66,9.07550992242882e-21
34312.055,9.08559246635128e-21
34341.092,9.08182186667094e-21
34360.45,9.07930219915067e-21
34408.845,9.05333557781509e-21
34457.24,9.02607645186337e-21
34505.635,8.99303696743851e-21
34554.03,8.94682747795464e-21
34602.425,8.84164993087516e-21
34650.82,8.83530146149642e-21
34699.215,8.80667999287021e-21
34747.61,8.79158832274542e-21
34796.005,8.7907558830217e-21
34844.4,8.82192583822308e-21
34892.795,8.77828647939853e-21
34941.19,8.80674864037203e-21
34989.585,8.75770810282447e-21
35037.98,8.78303339244115e-21
35086.375,8.8007828904267e-21
35134.77,8.78363302376012e-21
35183.165,8.80457672367359e-21
35231.56,8.72248595514188e-21
35279.955,8.6873117070805e-21
35328.35,8.67211396874528e-21
35376.745,8.6634397005092e-21
35425.14,8.62795118270121e-21
35473.535,8.62123747574468e-21
35521.93,8.61273099325379e-21
35570.325,8.55669503175068e-21
35618.72,8.54295180224738e-21
35667.115,8.52524840393049e-21
35715.51,8.5745304862122e-21
35763.905,8.60000443268364e-21
35812.3,8.67282513810338e-21
35860.695,8.35111167735531e-21
35909.09,8.49330004480767e-21
35957.485,8.66117954325351e-21
36005.88,8.44227945664157e-21
36034.1700273943,8.5640955143302e-21
36037.1774616549,8.577713666565e-21
36040.1848959155,8.59369851310874e-21
36043.192330176,8.62356623631557e-21
36046.1997644366,8.7162450806245e-21
36049.2071986972,9.02117395637358e-21
36052.2146329577,9.84603447423044e-21
36054.275,1.08417964181679e-20
36055.2220672183,1.15402724862877e-20
36058.2295014789,1.40565938047473e-20
36060.2815345679,1.58273027785005e-20
36061.2369357394,1.65207435897468e-20
36063.2911481111,1.74633577623818e-20
36064.24437,1.75792639658067e-20
36066.3007616543,1.70884235391518e-20
36067.2518042606,1.6557339091255e-20
36069.3103751975,1.49781965326216e-20
36070.2592385211,1.41591962949069e-20
36072.3199887407,1.24762333115047e-20
36073.2666727817,1.18347193592773e-20
36075.3296022839,1.0897878341299e-20
36076.2741070423,1.07187568009054e-20
36078.3392158272,1.0935385587139e-20
36079.2815413029,1.13199818415645e-20
36081.3488293704,1.27674284471906e-20
36082.2889755634,1.36666570822446e-20
36084.3584429136,1.59824494103489e-20
36085.296409824,1.70782392144676e-20
36087.3680564568,1.92230265328336e-20
36088.3038440846,1.99311313616736e-20
36090.37767,2.06187679755714e-20
36091.3112783451,2.04822738810312e-20
36093.3872835432,1.92484738387262e-20
36094.3187126057,1.83640827048122e-20
36096.3968970864,1.60106709608138e-20
36099.4065106296,1.27031178660176e-20
36102.4161241729,1.04866915707868e-20
36102.67,1.03435410213809e-20
36105.4257377161,9.35893632715402e-21
36108.4353512593,8.91656148282993e-21
36111.4449648025,8.75699964035936e-21
36114.4545783457,8.68173736365227e-21
36117.4641918889,8.62576232942106e-21
36120.4738054321,8.57375923905475e-21
36151.065,8.09797369871016e-21
36199.46,8.99683436024003e-21
36247.855,8.93354590349129e-21
36267.4328248116,8.52942095741609e-21
36270.4597273304,8.47163170691918e-21
36273.4866298493,8.41561132249145e-21
36276.5135323681,8.36436896585026e-21
36279.540434887,8.33076735063147e-21
36282.5673374058,8.35414075531555e-21
36285.5942399246,8.51549964641141e-21
36288.6211424435,8.90681486558768e-21
36291.6480449623,9.51556060788556e-21
36294.6749474812,1.01115320525443e-20
36296.25,1.0225004920071e-20
36297.70185,1.03818350726644e-20
36300.7287525188,1.01510809917923e-20
36303.7556550377,9.55067220595051e-21
36306.7825575565,8.93725717891e-21
36309.8094600754,8.54108793792689e-21
36312.8363625942,8.3747274183015e-21
36315.8632651131,8.34620755229994e-21
36318.8901676319,8.37450322788461e-21
36321.9170701508,8.42026592001261e-21
36324.9439726696,8.47062330674363e-21
36327.9708751884,8.52255924668497e-21
36344.645,8.82739865842334e-21
36373.682,8.90918390966661e-21
36393.04,8.96496673993563e-21
36441.435,8.87534255309793e-21
36465.4934421875,8.37594558269946e-21
36468.5368749687,8.31859098297007e-21
36471.58030775,8.26321311383393e-21
36474.6237405312,8.21370606654349e-21
36477.6671733125,8.18669716775227e-21
36480.7106060937,8.23302173267474e-21
36483.754038875,8.45737133980177e-21
36486.7974716562,8.97860105864961e-21
36489.83,9.77660671695158e-21
36489.8409044375,9.78084489908643e-21
36492.8843372188,1.06539232169928e-20
36495.92777,1.10490204858905e-20
36498.9712027813,1.07348600152922e-20
36502.0146355625,9.94264409325852e-21
36505.0580683438,9.13324630582891e-21
36508.101501125,8.60420323389722e-21
36511.1449339063,8.37174101826867e-21
36514.1883666875,8.3170047695953e-21
36517.2317994688,8.33528057633153e-21
36520.27523225,8.3757112132251e-21
36523.3186650313,8.42165332184198e-21
36526.3620978125,8.46920006809198e-21
36538.225,8.66307322625857e-21
36586.62,9.17641650404108e-21
36635.015,9.23030326740657e-21
36683.41,9.04934192551554e-21
36729.2196646406,8.37564301334709e-21
36731.805,8.34183179576011e-21
36732.2851081765,8.33906569645813e-21
36735.3505517125,8.32232980384609e-21
36738.4159952484,8.31191071577085e-21
36741.4814387843,8.32978638388639e-21
36744.5468823203,8.44308463166145e-21
36747.6123258562,8.79001657038076e-21
36750.6777693922,9.52748673046552e-21
36753.7432129281,1.06341662191041e-20
36756.8086564641,1.17174458987799e-20
36759.8741,1.21690381093883e-20
36762.939543536,1.1683668601332e-20
36766.0049870719,1.05664809009947e-20
36769.0704306078,9.42575713983223e-21
36772.1358741438,8.65419323930721e-21
36775.2013176797,8.2731880761361e-21
36778.2667612156,8.12584926192425e-21
36780.2,8.08713975125719e-21
36781.3322047516,8.09749952253893e-21
36784.3976482875,8.13822772359133e-21
36787.4630918235,8.18611231446546e-21
36790.5285353594,8.23599673138881e-21
36828.595,8.94571491339934e-21
36876.99,9.2143645706187e-21
36925.385,9.15131067703104e-21
36973.78,9.02147080443883e-21
37022.175,8.98450330772132e-21
37070.57,8.59849878514066e-21
37091.6860679242,8.12416391797249e-21
37094.7817631318,8.06120213265353e-21
37097.8774583393,8.0011593143317e-21
37100.9731535469,7.95102399300327e-21
37104.0688487545,7.9406093081823e-21
37107.1645439621,8.06104704012015e-21
37110.2602391697,8.50000754966928e-21
37113.3559343773,9.47054929528029e-21
37116.4516295849,1.0943673683253e-20
37118.965,1.20703375734307e-20
37119.5473247924,1.24038240043333e-20
37122.64302,1.30832622950581e-20
37125.7387152076,1.24909791113674e-20
37128.8344104152,1.10414079424151e-20
37131.9301056228,9.56067253520031e-21
37135.0258008303,8.58211043619459e-21
37138.1214960379,8.13480368850703e-21
37141.2171912455,8.00569885861237e-21
37144.3128864531,8.00709080289863e-21
37147.4085816607,8.04781377731315e-21
37150.5042768683,8.0980311602326e-21
37153.5999720758,8.1507368347291e-21
37167.36,8.39960537695398e-21
37215.755,8.96646632880679e-21
37264.15,9.07995000045216e-21
37312.545,9.08432624204123e-21
37360.94,9.14396803091144e-21
37409.335,9.02252903530249e-21
37457.73,9.04860647127678e-21
37506.125,8.97333976007495e-21
37554.52,8.80467594996492e-21
37602.915,8.26586294207373e-21
37606.3728871011,8.20356738274598e-21
37609.511538391,8.14842973333499e-21
37610.7248049634,8.12767254027977e-21
37612.6501896809,8.09611387635199e-21
37613.863819467,8.07796486171494e-21
37615.7888409708,8.05556227887113e-21
37617.0028339707,8.04945600459376e-21
37618.9274922607,8.06658861949741e-21
37620.1418484744,8.10761595511531e-21
37622.0661435506,8.25980234920002e-21
37623.2808629781,8.44179254216518e-21
37625.2047948404,8.93955108918979e-21
37626.4198774817,9.43102640162786e-21
37628.3434461304,1.05630232288876e-20
37629.5588919853,1.15239909481322e-20
37631.4820974202,1.34106846865265e-20
37632.697906489,1.47764362587004e-20
37634.6207487101,1.70115445434667e-20
37635.8369209927,1.83252578222348e-20
37637.7594,1.99478365914061e-20
37638.9759354963,2.05447405436667e-20
37640.8980512899,2.06459453172187e-20
37642.11495,2.01636908199845e-20
37644.0367025798,1.86607322652717e-20
37645.2539645037,1.73688029598892e-20
37647.1753538697,1.50876627379835e-20
37648.3929790073,1.36462569850833e-20
37650.3140051596,1.16053275732823e-20
37651.31,1.07063440709535e-20
37651.531993511,1.05404927107689e-20
37653.4526564494,9.30501345908313e-21
37654.6710080146,8.75779635803302e-21
37656.5913077393,8.19879325013103e-21
37657.8100225183,7.99056622964946e-21
37659.7299590292,7.81507588013313e-21
37660.949037022,7.76641889392504e-21
37662.8686103191,7.74477058568285e-21
37664.0880515256,7.75074127037509e-21
37666.007261609,7.77503260030196e-21
37667.2270660293,7.79527517894769e-21
37669.1459128989,7.83046332085675e-21
37670.366080533,7.85393413489346e-21
37673.5050950366,7.91624212833025e-21
37699.705,8.50675868251846e-21
37748.1,8.80784274738531e-21
37796.495,8.94003195550577e-21
37844.89,9.05665214908804e-21
37893.285,8.99219389696017e-21
37941.68,8.98733655724197e-21
37990.075,8.95126843913251e-21
38038.47,8.83958697667343e-21
38086.865,8.46020242826349e-21
38135.26,8.91833502808594e-21
38183.655,8.86011096722735e-21
38232.05,8.82666256256838e-21
38280.445,8.75577707137522e-21
38328.84,8.58543150442229e-21
38377.235,8.08987995466334e-21
38394.2634387424,7.64188384028719e-21
38397.4678478682,7.56628703600234e-21
38400.6722569939,7.49599490409226e-21
38403.8766661197,7.44534945801899e-21
38407.0810752454,7.47554271115306e-21
38410.2854843712,7.77362853812475e-21
38413.489893497,8.72481387901236e-21
38416.6943026227,1.07664161923943e-20
38419.8987117485,1.38389119443594e-20
38423.1031208742,1.68478039544136e-20
38425.63,1.78192526308977e-20
38426.30753,1.81208832852989e-20
38429.5119391257,1.68712965457021e-20
38432.7163482515,1.38620460174952e-20
38435.9207573773,1.07888329890956e-20
38439.1251665031,8.74639203294842e-21
38442.3295756288,7.79443860594597e-21
38445.5339847546,7.49569078815645e-21
38448.7383938804,7.46489818555675e-21
38451.9428030061,7.5149658960841e-21
38455.1472121319,7.58468268651562e-21
38458.3516212576,7.65969996324633e-21
38474.025,8.06618430641528e-21
38522.42,8.49796761506357e-21
38532.099,8.52782653192102e-21
38570.815,8.65037765926694e-21
38619.21,8.71609596930483e-21
38667.605,8.74248460050604e-21
38716,8.69813491474944e-21
38764.395,8.66627982619357e-21
38812.79,8.66098106186581e-21
38861.185,8.68572699405636e-21
38909.58,8.73311361854593e-21
38957.975,8.51320965697524e-21
39006.37,8.65930535790574e-21
39054.765,8.68592195832511e-21
39103.16,8.69721128379022e-21
39151.555,8.61904999429284e-21
39199.95,8.65317044367752e-21
39248.345,8.6273759185713e-21
39296.74,8.63336086179045e-21
39345.135,8.43657791983371e-21
39393.53,8.43526156737765e-21
39441.925,8.39566702933495e-21
39490.32,8.37805029237688e-21
39538.715,8.31844687429798e-21
39587.11,8.24275569799371e-21
39635.505,7.9388595393771e-21
39683.9,7.10963936714602e-21
39696.5506817031,7.19547249154661e-21
39699.8637805328,7.21918826561539e-21
39703.1768793625,7.24759847581534e-21
39706.4899781922,7.30291442461478e-21
39709.8030770219,7.47949674916233e-21
39713.1161758516,8.06554067280425e-21
39716.4292746813,9.65441036344567e-21
39719.7423735109,1.29197197062649e-20
39723.0554723406,1.77698991959021e-20
39726.3685711703,2.25194281285036e-20
39729.68167,2.45568633035396e-20
39732.295,2.29702336351356e-20
39732.9947688297,2.2572985045367e-20
39736.3078676594,1.7881583155135e-20
39739.6209664891,1.30891594245066e-20
39742.9340653188,9.8816021857645e-21
39746.2471641485,8.35078031710599e-21
39749.5602629782,7.82314418135951e-21
39752.8733618078,7.70527518068088e-21
39756.1864606375,7.70892749039864e-21
39759.4995594672,7.73972286875995e-21
39762.8126582969,7.77545162082928e-21
39780.69,7.98048123555244e-21
39829.085,8.19373438915121e-21
39877.48,8.1966180939118e-21
39925.875,8.25358829926167e-21
39974.27,8.15295909819039e-21
40022.665,8.251810477068e-21
40071.06,8.28398593963157e-21
40119.455,8.20694418691881e-21
40167.85,8.24455643359667e-21
40216.245,8.24084448211694e-21
40264.64,8.22976231819152e-21
40313.035,8.22710685790569e-21
40361.43,8.17657404397071e-21
40409.825,8.12328354362281e-21
40458.22,8.0838509190532e-21
40506.615,8.13382364596965e-21
40555.01,8.0738794546659e-21
40603.405,8.04085776935559e-21
40651.8,7.91249127976076e-21
40700.195,7.99596174329948e-21
40748.59,8.00371156196555e-21
40796.985,7.95442860794684e-21
40816.343,7.9678203884429e-21
40845.38,7.98804153320595e-21
40893.775,7.92380089260546e-21
40942.17,7.96688499142065e-21
40990.565,7.87144713399162e-21
41038.96,7.91879207993979e-21
41087.355,7.90694562321684e-21
41135.75,7.8741282830975e-21
41184.145,7.86058783481147e-21
41232.54,7.81460310700289e-21
41280.935,7.8499008508707e-21
41329.33,7.78626138650905e-21
41377.725,7.77071184148208e-21
41426.12,7.78119363074981e-21
41474.515,7.76777036601149e-21
41522.91,7.68082279498953e-21
41571.305,7.64228444918284e-21
41619.7,7.59338828454187e-21
41668.095,7.61638051772811e-21
41716.49,7.594974862498e-21
41764.885,7.55143310925831e-21
41813.28,7.57853041027299e-21
41861.675,7.49393666236547e-21
41910.07,7.42279180969224e-21
41958.465,7.12376024690465e-21
41976.2786765281,6.78067804401623e-21
41979.7820428753,6.7201393028603e-21
41983.2854092225,6.66870349991536e-21
41986.7887755697,6.66285666127586e-21
41990.2921419168,6.85779393250525e-21
41993.795508264,7.72762814844827e-21
41997.2988746112,1.02485667728082e-20
42000.8022409584,1.55288494210417e-20
42004.3056073056,2.34177569496375e-20
42006.86,2.87542501666185e-20
42007.8089736528,3.11663475488776e-20
42011.31234,3.45189031293138e-20
42014.8157063472,3.1253683525308e-20
42018.3190726944,2.3526129247975e-20
42021.8224390416,1.56328448731698e-20
42025.3258053888,1.03476254357682e-20
42028.829171736,7.82163598300018e-21
42032.3325380832,6.94671016045249e-21
42035.8359044304,6.74652534514114e-21
42039.3392707776,6.74685893198352e-21
42042.8426371247,6.79245752044238e-21
42046.3460034719,6.84680650933038e-21
42055.255,6.99442812971347e-21
42103.65,7.27570118933693e-21
42152.045,7.43064221774891e-21
42200.44,7.45851687957596e-21
42248.835,7.48767607120115e-21
42297.23,7.40901463775213e-21
42345.625,7.36410590675774e-21
42394.02,7.39534201485939e-21
42442.415,7.24541087020757e-21
42490.81,7.30449029923265e-21
42539.205,7.28546426080843e-21
42587.6,7.28394572848506e-21
42635.995,7.29637226541191e-21
42684.39,7.28080485070958e-21
42732.785,7.22185184938415e-21
