wave,flux
76880.297,2.10739683459057e-21
81439.106,1.95058743021368e-21
86268.927,1.80676649372944e-21
91379.439,1.67444576627959e-21
96790,1.55281347623177e-21
102500.61,1.44159903996787e-21
108598.38,1.33901654185291e-21
115083.31,1.24524187708087e-21
121858.61,1.16120860609483e-21
123891.2,1.13851634936369e-21
129117.86,1.08375076989898e-21
136764.27,1.0134636834466e-21
144797.84,9.49927930564814e-22
153412.15,8.91452295339617e-22
159703.5,8.54006982070481e-22
162510.41,8.38266785061363e-22
172092.62,7.89667852421792e-22
182352.36,7.44613709953489e-22
193096.05,7.03347894339607e-22
204517.27,6.64828614450858e-22
205194.8,6.62696412169096e-22
216712.81,6.28460565102205e-22
229489.09,5.94365510577361e-22
243136.48,5.61826373623731e-22
257558.19,5.30775505404051e-22
261333,5.23014241565999e-22
272754.22,5.008476117611e-22
288918.15,4.71893860740255e-22
306049.98,4.43724832048739e-22
309728,4.3802265257075e-22
314567.5,4.30732161707621e-22
319407,4.23677984661417e-22
324246.5,4.16828490398605e-22
338765,3.96578936557935e-22
343410.92,3.90485084236976e-22
348444,3.83893476824071e-22
363736.82,3.65076108552213e-22
385320.99,3.405871550418e-22
408163.43,3.17004694979029e-22
432360.93,2.9438284839936e-22
435555,2.9155283058588e-22
458010.28,2.72938146689001e-22
483950,2.53875016258968e-22
485111.480000001,2.53076507394135e-22
495564.8,2.44286967223265e-22
497500.6,2.42712625394695e-22
499436.4,2.41154862954483e-22
501372.2,2.3961289075107e-22
503308,2.38086738345655e-22
505243.8,2.36576191496327e-22
507179.6,2.35080892934058e-22
509115.4,2.33600544116993e-22
511051.2,2.32134977672046e-22
512987,2.3068423892146e-22
513858.110000001,2.30036210456399e-22
514922.8,2.29210235897762e-22
516858.6,2.27720297452873e-22
518794.4,2.2624533770458e-22
520730.2,2.24785238429283e-22
522666,2.2334005157355e-22
524601.8,2.21909558909851e-22
526537.600000001,2.20493485325076e-22
528473.4,2.19091615852787e-22
530409.2,2.17703779734989e-22
532345,2.1632970701525e-22
534280.8,2.14969267740149e-22
536216.6,2.13622247796549e-22
538152.4,2.12288517512855e-22
540088.2,2.10967901954512e-22
542024,2.09660229632763e-22
543959.8,2.08365329358185e-22
544250.17,2.08172170549396e-22
545895.6,2.07051118732936e-22
547831.4,2.05744189432227e-22
549767.200000001,2.04450056786484e-22
551703,2.03168593268485e-22
553638.8,2.01899550918385e-22
555574.6,2.00642757340945e-22
557510.4,1.99398078131417e-22
559446.200000001,1.98165382505369e-22
561382,1.96944567411927e-22
563317.8,1.95735467930125e-22
565253.6,1.94537977290852e-22
567189.4,1.93351908223115e-22
569125.2,1.92177039266915e-22
571061,1.91013220695085e-22
572996.8,1.89860329236919e-22
574932.6,1.88718285316452e-22
576578.03,1.8775609689852e-22
576868.4,1.87575261382358e-22
578804.200000001,1.86376510497487e-22
580740,1.85189428616157e-22
582675.8,1.84013694899931e-22
584611.600000001,1.82849178880408e-22
586547.4,1.81695800731464e-22
588483.2,1.8055359949261e-22
590419,1.79422514856366e-22
592354.8,1.78302491309506e-22
594290.6,1.77193643441494e-22
596226.4,1.76095623859311e-22
598162.2,1.75008006340847e-22
600098,1.73929859937675e-22
602033.8,1.7286107203694e-22
603969.6,1.71801526632029e-22
605905.4,1.70751479016662e-22
607841.200000001,1.6971113371148e-22
609777.000000001,1.68680494055602e-22
610744.9,1.68168752894066e-22
611712.8,1.67667266970307e-22
613648.6,1.66671313561374e-22
615584.400000001,1.65684514891919e-22
617520.2,1.64706668133199e-22
619456.000000001,1.63737665018271e-22
621391.8,1.6277739978183e-22
623327.600000001,1.61825798917721e-22
625263.4,1.60882737503956e-22
627199.2,1.59948120282969e-22
629135,1.59021814940254e-22
631070.799999999,1.58103700139131e-22
633006.600000001,1.57193676362692e-22
634942.4,1.56291703150013e-22
636878.2,1.5539772101009e-22
638814,1.54511538758871e-22
640749.8,1.53633060908979e-22
642685.6,1.52762202708769e-22
644621.400000001,1.51898811231058e-22
646557.2,1.51042839513824e-22
646847.57,1.50915084429947e-22
648492.999999999,1.50149960279411e-22
650428.8,1.49257280885614e-22
652364.6,1.48372505767616e-22
654300.399999999,1.47495527697202e-22
656236.199999999,1.46626345885837e-22
658172.000000001,1.45764829465047e-22
660107.8,1.44910927522276e-22
662043.600000001,1.44064517988457e-22
663979.400000001,1.43225501526768e-22
665915.2,1.42393829625508e-22
667851.000000001,1.41569376947448e-22
669786.8,1.40752121438149e-22
671722.600000001,1.39942191742681e-22
673658.4,1.39139577784089e-22
675594.2,1.38343533166636e-22
677530,1.37553700511439e-22
679465.8,1.36770168031632e-22
681401.6,1.35993580525607e-22
683337.4,1.35223849958282e-22
685176.41,1.34498812827359e-22
685273.2,1.34473160870658e-22
687209,1.33961898979529e-22
689144.8,1.33454015186512e-22
691080.6,1.32949425897957e-22
693016.400000001,1.32448114680858e-22
694952.2,1.31950117141132e-22
696888,1.31455424148398e-22
698823.8,1.30963978994201e-22
700759.6,1.30475734732837e-22
702695.4,1.29990678256691e-22
704631.200000001,1.29508791159866e-22
706567,1.29030024549215e-22
708502.800000001,1.2855434643793e-22
710438.599999999,1.28081771009407e-22
712374.399999999,1.27612275373096e-22
714310.200000001,1.27145845745349e-22
716246,1.26682403898514e-22
718181.8,1.26221944583433e-22
720117.6,1.25764420404196e-22
722053.400000001,1.25309754100885e-22
723989.2,1.24858037973875e-22
725828.21,1.2443151676078e-22
725925,1.24462984255986e-22
727860.8,1.25093058727716e-22
729796.6,1.25724663338332e-22
731732.4,1.26357682704627e-22
733668.2,1.26992052623229e-22
735604,1.27627815942294e-22
737539.8,1.28264919961449e-22
739475.6,1.28903383673033e-22
741411.4,1.29543262700625e-22
743347.2,1.30184575769209e-22
745283.000000001,1.30827400222443e-22
747218.8,1.31471792859986e-22
749154.6,1.32117723034428e-22
751090.4,1.3276516685407e-22
753026.199999999,1.33414103793299e-22
754962.000000001,1.3406451885671e-22
756897.800000001,1.34716385621262e-22
758833.600000001,1.35369688905685e-22
760769.400000001,1.36024433969237e-22
762705.2,1.36680577659157e-22
764641.000000001,1.37338178784183e-22
766576.8,1.37997227845885e-22
768512.6,1.38657760989797e-22
768802.97,1.3875697456261e-22
770448.4,1.4008121642122e-22
772384.200000001,1.41651654784546e-22
774320,1.43235726693051e-22
776255.8,1.44833581951205e-22
778191.6,1.4644522057054e-22
780127.4,1.48070767434055e-22
782063.2,1.49710300516641e-22
783999,1.51363870692008e-22
785934.8,1.53031634118418e-22
787870.600000001,1.54713632191468e-22
789806.4,1.56409930240819e-22
791742.2,1.58120680984389e-22
793678,1.59845919241212e-22
795613.8,1.61585727449227e-22
797549.6,1.63340195822553e-22
799485.4,1.65109395795456e-22
801421.2,1.66893417274096e-22
803357,1.68692350464747e-22
805292.799999999,1.70506275118699e-22
807228.6,1.72335267668745e-22
809164.400000001,1.74179430077915e-22
811100.2,1.76038850204131e-22
813036.000000001,1.77913646165599e-22
814391.06,1.7923522443055e-22
814971.8,1.79635621829528e-22
816907.599999999,1.80974681152468e-22
818843.4,1.82320535768703e-22
820779.200000001,1.83673220469502e-22
822715,1.85032721352843e-22
824650.799999999,1.8639904030225e-22
826586.6,1.87772158392191e-22
828522.400000001,1.89152134846464e-22
830458.2,1.90538957826098e-22
832394,1.91932565042123e-22
834329.8,1.93333077041029e-22
836265.6,1.94740466115882e-22
838201.4,1.96154728813864e-22
840137.2,1.97575959725068e-22
842073,1.99004177958382e-22
844008.800000001,2.00439378811727e-22
845944.6,2.01881612765954e-22
847880.400000001,2.03330894908327e-22
849816.200000001,2.0478727996096e-22
851751.999999999,2.06250754807069e-22
853687.8,2.07721358556994e-22
855623.599999999,2.09199123145635e-22
857559.4,2.10684034219872e-22
859495.200000001,2.12176137611256e-22
861430.999999999,2.1367549341322e-22
862689.27,2.14653940287863e-22
863366.8,2.15006606081682e-22
865302.600000001,2.16015911783297e-22
867238.400000001,2.17027692359169e-22
869174.2,2.18041932401037e-22
871110.000000001,2.19058605596828e-22
873045.800000001,2.20077694967153e-22
874981.599999999,2.21099252305938e-22
876917.399999999,2.22123289383692e-22
878853.2,2.23149832515341e-22
880789.000000001,2.2417885132209e-22
882724.800000001,2.25210364072248e-22
884660.600000001,2.26244368972694e-22
886596.399999999,2.27280848454828e-22
888532.2,2.28319800552351e-22
890468.000000001,2.29361232382676e-22
892403.8,2.30405138172487e-22
894339.6,2.31451516064462e-22
896275.400000001,2.32500368441422e-22
898211.2,2.33551695330481e-22
900146.999999999,2.34605497226151e-22
902082.8,2.35661772354544e-22
904018.6,2.36720523067785e-22
905954.4,2.37781757011933e-22
907890.2,2.38845473219488e-22
909825.999999999,2.39911668562979e-22
911761.799999999,2.40980339528509e-22
913697.6,2.4205148795018e-22
