Mstar,SFR,AGNlum_LB_filter
7782599608.07308,36.1854337363801,44.9331528622493
32056756426.6006,71.7082640914306,35.2446033423044
2769630171.52399,6.82588498994271,35
8212080359.34358,40.6768706243838,35
1071579033.96844,4.58147441331307,39.8766976585757
6547098027.48007,56.2370994439602,35
1883055560.71632,8.04694322093678,43.0935123848291
169978671.861873,1.77012480110191,44.3236388860593
5493827003.15712,26.1859691835114,44.7187867369395
2239207887.0887,4.45416575732004,43.3552037352258
953726594.12612,4.87673837976352,35
38823207522.1801,78.2748982308,44.8131190402244
173900264.180884,1.72921268295485,41.142873446933
12020241804.8411,52.3012895205166,44.4310853684719
2265712067.14169,5.70521787610428,43.7446426243216
7823904153.30019,17.4672947584092,44.5475686196857
6280376168.0056,28.4160913247128,44.7020095213844
10712952448.6455,46.4402557657993,44.9604552215274
3945396359.09005,19.6943926216839,37.8228203711094
2283261323.55278,10.6624873666855,42.8202307865718
37264022133.8821,83.4502509625511,35
2241708741.20216,10.5633636379046,44.2391501132063
4702564476.63164,9.47107527640263,35
9966851498.02547,54.5564022085579,45.1281104405792
2290850722.0823,10.7044410188495,44.102197001026
9317232947.66924,47.8770562264777,45.0944748928955
10046814376.9026,44.3014438268138,44.0216450810179
606888517.136699,2.84563706445757,42.8811162877577
4581019579.18716,23.6003472870134,35
4981376047.96676,20.267009264104,44.6096094124203
2133550848.80201,13.383606140082,44.331046813861
6622397860.08076,28.9005346462036,35
8432253576.28956,34.9882217178725,35
3815170578.14139,17.6583686577748,44.7537181266191
3770871599.01284,19.378806334514,35
1311464686.30421,5.84129891366085,37.0741011976036
4887027524.73688,24.7886810744042,44.6879134066455
1979052742.57917,11.0627121120731,36.9786531787078
2263716930.66427,12.599239624957,35
495471005.067944,2.66458383739731,35
8082603917.84222,32.015741242812,44.8421462274149
2208107751.22364,11.1905223485345,44.6128018060812
6341168615.46681,29.6583765768924,44.7152231821121
2453614150.70568,9.93306082112762,44.9688431274316
762524477.438903,3.2803239691014,35
5564639102.25591,25.6440136515209,44.1982700721333
26089719248.1959,176.36529506807,45.269415278047
893682001.481562,3.98205607631561,44.6861328992702
5032468777.28557,11.0776270544339,39.3817775064657
859889065.280951,3.51800692583328,40.9342300352032
3045789774.63328,14.9300961126621,43.86531738456
281607960.024242,2.73286464799268,38.3647875036627
7138353127.35501,21.6421316605176,36.5349190789385
6735050486.15379,26.5944912185523,44.5156623439042
3599432347.15549,37.3730784114836,44.1868444357046
5375293551.78963,13.1670847094278,35.6214077985783
