SFRBurst50,SFRBurst16,SFRBurst84,Mstar50,Mstar16,Mstar84,RA,DEC,VISITID,MODULE,COLID,z,LP
6.04799733355234,1.53130959078823,1.80291082470395,850367333.358036,222740159.776935,333947233.04283,214.943133427401,52.9424362776306,1345002001,NRCB,1,11.44,8.13419634046509
2.90041995504194,0.94179710128984,1.71808074562453,474411397.784067,165829609.813674,404603487.648422,214.922759350125,52.9115334522594,1345002001,NRCB,2,10.1,8.36292104835545
3.15724745236795,0.810417987069337,1.3979386679672,508240330.315168,136781362.777187,263979906.043885,214.732469804431,52.7580750105799,1345061001,NRCB,3,10.01,6.80140914475365
7.67264480433878,1.39419686962124,1.77819979442932,2127513125.68904,547111216.03618,662211336.927245,214.811872759069,52.7371283161805,1345071001,NRCB,4,9.77,8.30885408605323
3.42131843455778,3.24189139911342,6.9999923121443,516210082.686723,496427016.10169,1387945462.39677,214.897234136215,52.8438478746668,1345004001,NRCB,5,8.998,7.47291469930697
3.38879603599139,0.717782704191596,1.04011105290424,627892084.512613,122696193.650262,188957592.55769,214.901234033777,52.8469912643136,1345004001,NRCB,6,8.881,8.31416653261857
4.11785669011553,0.357695806414864,0.376482072756807,888736410.075212,83881959.6624875,73155125.2500472,214.994408776254,52.9893042117131,1345001001,NRCB,7,8.809,7.8045572353149
7.68128390603986,1.25454765172796,1.42870683373711,1402105550.38601,231649802.907532,303467674.542759,214.938540580321,52.9117360682978,1345064001,NRCA,8,8.763,8.32049222885624
10.1664490988057,2.02135339509337,2.70089269396273,1980945475.39217,392177838.102249,516061652.44585,214.967418620147,52.9329524463834,1345064001,NRCA,9,8.715,8.3719706248991
74.1732623866964,12.4197508741965,13.0327706558844,13586610211.289,2300670897.52632,2352114063.62099,215.035402199515,52.8906678020107,1345068001,NRCA,10,8.679,-0.27832215000257
2.05996510535151,0.801805037135121,1.4488504890925,403046738.267881,173046800.617337,283548801.407346,214.961149599286,52.8423791828416,1345069001,NRCA,11,8.638,8.50349722922212
3.63014097546957,0.509998152021376,0.649001538445306,736728771.759747,100305004.438156,120715252.831103,215.005384766213,52.9966074862746,1345001001,NRCB,12,7.993,5.74341204958835
0.840992439237295,0.193498717401403,0.364931046211475,198617683.482086,57167985.1784838,99019072.9174698,214.944767996041,52.9314431459763,1345002001,NRCB,13,7.925,6.3061144758895
9.76858971166569,9.70593417566661,55.0278010880732,1034819511.05842,1029339513.05212,9221036933.54038,214.882986900233,52.8404240119593,1345004001,NRCB,14,7.82,5.88074235841385
7.50300080821541,1.17103183712731,1.28491263726196,1772475781.44152,256195791.119551,299720321.958946,214.830577376035,52.8877980922313,1345003001,NRCB,15,7.769,8.40621653377849
22.009410172622,5.51695684041805,6.69542373869204,4631316665.56046,1139880089.32266,1385700246.83274,214.806026562941,52.7508956270071,1345071001,NRCB,16,7.651,-1.04258430150578
3.7665675575546,0.613992137907866,1.02264882536353,1088754580.12057,179419766.24867,292564494.622642,214.809170104875,52.8683943113635,1345003001,NRCB,17,5.623,3.2429593241662
3.80471198800378,0.447482556511741,0.474117289391422,2732893682.84475,396023005.799618,356866271.231978,214.914523245981,52.9430399837868,1345002001,NRCB,18,4.912,8.44199598664231
1.79159992066411,1.79114023424601,15.2178067860182,198845721.390038,198805359.572544,2416024003.79101,215.005151169035,52.9966588027906,1345001001,NRCB,19,8.005,4.38753081672783
2.4128335292374,0.624432167823612,0.901283673126411,456488199.244553,131890884.18247,197308763.190714,215.011635650389,52.9883742051332,1345001001,NRCB,20,8.873,8.29456473062424
2.88538293092755,1.05387678412113,0.881184438665137,1326503568.129,482663229.328268,535009991.268636,215.001168711717,53.0111958518555,1345001001,NRCB,21,7.104,4.73483549803887
2.32567363768173,0.355213102124933,0.325003477620986,604998741.425001,95274923.8659539,83581846.2582198,215.015805754195,53.0113749069187,1345001001,NRCB,22,6.212,6.98906186714896
1.19191974572484,0.212810520664042,0.21414270462321,746223440.477658,148693134.848138,148262718.929166,214.86895200399,52.8772231921039,1345002001,NRCA,23,5.27,8.38806024570519
1.57319949368618,0.309101730237471,0.271130336615388,443566761.763975,87262365.5716881,86387966.5277512,214.872552394033,52.8759503260043,1345002001,NRCA,24,5.668,3.51752445071871
3.58315493973143,0.4585207088242,0.441303990656944,935655962.477588,115801017.805067,115363717.254341,214.806511666826,52.8787434818676,1345003001,NRCB,25,6.105,7.42942691068391
1.3434821597417,0.228457731593573,0.206876662952568,394088098.643525,72859536.2233915,64585894.0418226,214.805318673283,52.8777686934556,1345003001,NRCB,26,5.641,8.26096796531133
0.79282106023061,0.101112675349325,0.143624259663768,457832636.139215,62028346.7110419,76998563.127557,214.812732569599,52.8814550446059,1345003001,NRCB,27,6.051,7.78276548147007
1.01484312793595,0.124001690803159,0.152091338683578,660814576.644775,109303072.487727,98374382.1004828,214.819690509716,52.879678444091,1345003001,NRCB,28,5.513,8.60115736660478
2.57769999474384,0.627377409069463,0.743451881604675,639078196.74204,148535171.006935,181427694.191424,214.83221053545,52.8849915558178,1345003001,NRCB,29,6.618,8.062193925516
2.6410863413584,0.304035917324092,0.387098750845989,945188863.568728,134617085.350877,188397414.233308,214.83631218759,52.8826842723361,1345003001,NRCB,30,6.005,8.39014252368717
8.8757992620247,1.13329827090528,1.12775690244023,2663004222.4863,317016543.619612,316633990.122033,214.829039763888,52.8756021653169,1345003001,NRCB,31,5.766,6.45006802959775
1.5870709664549,0.274794931378421,0.329704340653829,531700066.494077,126156748.951969,161235608.110057,214.839366178947,52.8824651745919,1345003001,NRCB,32,7.029,5.18099948086417
