SFRBurst50,SFRBurst16,SFRBurst84,Mstar50,Mstar16,Mstar84,z,LP
5.42109375999251,1.35399478784634,1.61697824537147,771425166.149267,202982681.574268,231742660.99805,11.44,-0.731005882635238
3.50568985742777,0.855121139145813,0.864062862266172,611574056.492794,145663686.830315,142945811.799986,10.1,0.0221014838506264
4.14361412805673,0.970858833374256,1.12243509321334,660645255.676083,154868646.230279,174523391.557002,10.01,-1.24076228159983
8.44334724877371,2.50091482408141,2.03884880407434,1475896681.97928,493203850.008899,587446871.928607,9.77,-3.04344776723703
2.5554989148814,0.595285129414269,0.813411001474153,449064685.713019,103779761.168113,146225036.714155,8.998,0.582383689649149
4.48986788327304,1.04512342305545,1.18791386019145,970859068.337641,215930504.544573,250695306.256044,8.881,-0.341156476402343
4.83123305196171,0.553356774655438,0.661739303510633,863189956.829096,96790047.1230937,116765435.02429,8.809,1.07991401909879
6.19513774393816,0.332548518691433,0.378486137331795,1471909931.12755,147597550.296007,168054264.705488,8.763,-0.0157165014886047
10.6697387111741,1.15463139022932,1.19528293948115,1988169506.70928,230112269.437511,255921522.797836,8.715,-0.152283512585932
42.3768220691207,6.82138074901425,9.46774989684767,7764174616.91892,1195548488.42832,1669730301.69613,8.679,-7.57772841668408
2.16459956646006,0.357065176279861,0.45894196787582,412465159.146089,63109427.0233606,81596155.4172834,8.638,1.38351324396914
7.00136127438214,1.19050531288681,1.4369465438302,1390562075.16221,220366507.330267,287759135.706522,7.993,-1.51023550236508
1.02386760605285,0.245735513733584,0.420716483243664,205532828.453592,49942512.3968551,81598494.1002341,7.925,-1.09994504684384
8.17344290924029,1.6200001912483,1.63035843623554,1670009985.16426,333410237.25872,325149514.729966,7.82,-1.77405266806993
8.24076710412236,1.45531288963518,1.4670679347869,1719180689.65149,280676535.209615,301344962.021281,7.769,-2.16051695018348
21.974293504848,3.27150061688915,4.00709104391188,4608623926.84281,681559757.768046,849361965.782754,7.651,-14.7265884587639
12.9024465606149,6.3841497461509,9.02167711969973,1178560608.88603,595223722.935815,841818290.046395,5.623,-4.37639118687055
1.66559164127916,0.369019516640523,0.321843717141688,1517272928.31711,147375082.502022,153281247.412174,4.912,1.25092898179137
0.902399486364602,0.199968323193954,0.33505389498929,182849426.093845,36922033.5691637,65578560.9879354,8.005,-7.35435980654851
2.40954567201418,0.401099951900298,0.523368403560933,438051143.71364,71968488.5797858,91941071.3594313,8.873,1.40812071168106
7.36685707449207,1.77234629045594,2.8982708068768,1721063621.1536,419708432.755254,619466106.673062,7.104,-2.9463869903517
3.23215377701441,0.467858913729421,0.549388182916654,382440577.988477,58252491.4296533,70549382.7170127,6.212,-2.34878495260304
1.6299372659554,0.248303660968681,0.28605767024248,510524810.242246,73067307.9288117,85116911.1738725,5.27,1.2536814722908
1.43354144316229,0.195706516548082,0.172991637906516,421252420.018874,56332326.6421574,50628134.8706062,5.668,-4.01012184509349
3.38115762683015,0.589377402434771,0.844139240671471,896082205.366144,167009648.015431,227024338.449573,6.105,1.22752289957699
