SFRBurst50,SFRBurst16,SFRBurst84,AGNlum50,AGNlum16,AGNlum84,Mstar50,Mstar16,Mstar84,RA,DEC,VISITID,MODULE,COLID,z,LP
4.96481234867551,1.82316067326558,3.30315347855925,3.91867267450469e+42,2.25894885312993e+42,4.7242305675307e+42,716433028.774121,274261106.419718,552482855.956437,214.943133427401,52.9424362776306,1345002001,NRCB,1,11.44,-0.866922059197893
3.10762927800279,0.70140503350648,0.998836080279993,4.00574473570489e+38,2.80939393350771e+38,1.40803636089544e+39,609577095.351691,134848486.129346,174512228.849434,214.922759350125,52.9115334522594,1345002001,NRCB,2,10.1,0.0102145306684811
5.89858604356229,3.09141270380085,7.19438330341712,1.90832877523711e+39,1.01215297017601e+39,2.606771317871e+39,543664172.423543,291440267.125322,703530892.62703,214.732469804431,52.7580750105799,1345061001,NRCB,3,10.01,-0.280470654603477
1.49975141263102,0.337678073361025,0.50614063789131,4.31880881506919e+44,3.05602119258997e+44,7.16468082587703e+44,244063570.411125,53664777.784702,81887465.6771588,214.811872759069,52.7371283161805,1345071001,NRCB,4,9.77,-2.17049600368355
2.42523574609705,0.687221632648227,0.900467699215088,3.62561969052614e+42,2.44413279623086e+42,8.56759076624432e+42,430246562.709121,119583909.653129,153174292.384988,214.897234136215,52.8438478746668,1345004001,NRCB,5,8.998,0.740508351790382
2.86100836003942,0.58516179188715,0.654920871069639,7.02046774539418e+36,3.45842096721827e+36,6.06825290806472e+36,996698865.628396,213961173.345068,265746315.563643,214.901234033777,52.8469912643136,1345004001,NRCB,6,8.881,-0.221280815003404
4.91899283878966,0.754546050273381,0.93539254379492,2.77280868431125e+39,2.34342016647982e+39,7.11031507322029e+39,886035398.020578,147434854.398222,173995412.954023,214.994408776254,52.9893042117131,1345001001,NRCB,7,8.809,0.897833885374659
6.35652374669275,0.895953175758697,1.00921237156588,2.93726605195681e+43,2.39028836740633e+43,5.82026131757182e+43,1166833776.83419,174554896.929828,198747626.474851,214.938540580321,52.9117360682978,1345064001,NRCA,8,8.763,-0.0423503847208764
12.0334737246422,0.849264819996209,0.83789009116545,4.4015265812322e+43,2.9082353341951e+43,1.36372596711261e+44,2309707341.78123,151044715.102712,157806880.28059,214.967418620147,52.9329524463834,1345064001,NRCA,9,8.715,-0.117033419939155
13.1685230765553,2.05409864044378,2.78322274582274,1.05635226102351e+45,8.45034269623085e+44,4.86940202764405e+45,2400797526.56472,373434467.547039,493538942.610859,215.035402199515,52.8906678020107,1345068001,NRCA,10,8.679,-6.27711764597456
2.19196484999709,0.431768895367339,0.706717898545577,8.96086891105807e+41,7.0311263634961e+41,2.97861044298355e+42,444562845.211494,84727783.5095918,141266557.585506,214.961149599286,52.8423791828416,1345069001,NRCA,11,8.638,1.2724822321857
0.958515389532237,0.552329700251935,1.02784246436591,4.21486525263867e+46,1.97350834283133e+46,3.36853165771979e+46,190672923.073712,110074193.300708,201806854.686495,215.005384766213,52.9966074862746,1345001001,NRCB,12,7.993,-0.446760888867264
1.07539797707773,0.297849551473193,0.363947728454239,1.90158470902133e+36,1.23859369615119e+36,4.3743055360192e+36,214332178.88598,57253646.9344982,71616926.8213226,214.944767996041,52.9314431459763,1345002001,NRCB,13,7.925,-1.09989715433253
6.95464070698937,3.29931412834452,2.88251707093792,1.0163283292621e+44,7.29859932462125e+43,1.63485712388878e+44,1198490368.81174,686754963.362933,685996457.424245,214.882986900233,52.8404240119593,1345004001,NRCB,14,7.82,-1.64332211360543
0.824638627066521,0.435271508787228,0.783043132257904,3.0556095331439e+44,4.30078733475411e+42,4.5635882009971e+42,170758930.971059,90049775.0583118,160736123.702153,214.830577376035,52.8877980922313,1345003001,NRCB,15,7.769,-1.34807549878522
0.00020211934740247,4.54396454831921e-05,0.000276055863275702,8.99204040617843e+44,2.24126106901388e+44,2.67166067462741e+44,48628.1800237629,10762.4404922275,66127.7559336408,214.806026562941,52.7508956270071,1345071001,NRCB,16,7.651,-12.7720848659429
0.314704684643892,0.167923856180778,0.300781520913287,4.08851087013375e+46,1.02435377878225e+46,1.44166999422124e+46,89419874.3335412,47715230.3844753,85450912.7679979,214.809170104875,52.8683943113635,1345003001,NRCB,17,5.623,-3.05949787401239
2.77863091240105,0.31782894005927,0.365021498133403,4.21952471039189e+41,2.87107453107091e+41,7.17513498827002e+41,1335279551.56406,210889920.911695,245777864.385796,214.914523245981,52.9430399837868,1345002001,NRCB,18,4.912,1.28662386636608
0.00014644039602719,1.47170328976677e-05,0.000100119213857086,3.62724802832627e+43,1.79229765881934e+43,3.42847898036725e+43,34117.1542762987,3089.94954571148,23895.7430892205,215.005151169035,52.9966588027906,1345001001,NRCB,19,8.005,-6.8709131649551
2.08375427728532,0.4688027733139,0.543354013894177,2.24017187012142e+43,1.57677116431294e+43,5.86564289417048e+43,434206416.768077,101626741.061371,107770159.586658,215.011635650389,52.9883742051332,1345001001,NRCB,20,8.873,1.35247602258201
0.000176285082611718,1.66205322091019e-05,0.000151471744158661,7.4063875662394e+45,2.77625377474757e+45,5.35688639556609e+45,44857.8084182161,3406.60394483097,38936.8056437088,215.001168711717,53.0111958518555,1345001001,NRCB,21,7.104,-0.183618715949812
3.47215581693049,1.1830785117953,1.6515077624941,9.7767700469155e+35,5.99805898781178e+35,1.43830792470168e+36,420095914.356092,151597349.732432,213001892.25018,215.015805754195,53.0113749069187,1345001001,NRCB,22,6.212,-2.34552111603961
1.48271572821619,0.277570748903279,0.284004524804175,4.32819117346132e+36,2.12672397134677e+36,6.14773672312527e+36,440365484.698931,79995115.9242792,98903635.0064745,214.86895200399,52.8772231921039,1345002001,NRCA,23,5.27,1.29509957505558
1.48353900201463,0.35462627486392,0.509247410698173,1.34184434182645e+44,1.0139537321646e+44,2.7469704387217e+44,147488763.196087,35631097.1163573,54278797.3279796,214.872552394033,52.8759503260043,1345002001,NRCA,24,5.668,-2.64352877297992
3.62175209670351,0.683934013427369,0.745267232752885,5.45076128977427e+37,3.35241988240026e+37,1.27220486147751e+38,1010008432.9439,175531753.856753,193387973.054048,214.806511666826,52.8787434818676,1345003001,NRCB,25,6.105,1.27666205243664
0.546968160672181,0.181809301128563,0.227361229978987,4.35934255703677e+43,1.83034081946114e+43,3.77077667817307e+43,166273921.50987,54426626.5220693,70936427.9434761,214.805318673283,52.8777686934556,1345003001,NRCB,26,5.641,-0.057620375109142
0.783842897686184,0.1508632352466,0.176721271166349,5.59666069289385e+35,3.75228036624324e+35,6.1590088824292e+35,432712677.597334,88581377.6022541,111240287.710754,214.812732569599,52.8814550446059,1345003001,NRCB,27,6.051,-1.36503377075058
1.33302879634793,0.57730334068517,0.765297166270764,1.11964847663362e+40,5.39583831579306e+39,1.34552776134647e+40,536123074.45279,245998838.960977,367475438.163568,214.819690509716,52.879678444091,1345003001,NRCB,28,5.513,1.76155632350215
1.70442407663741,0.142184273987853,0.120060881646356,4.65467858835419e+39,3.1315441554227e+39,6.44376830075394e+39,893918503.215516,91866627.2630763,107291207.232272,214.83221053545,52.8849915558178,1345003001,NRCB,29,6.618,1.14294111471094
4.33854494460767,1.09242369374602,1.33115523056685,7.2765934342008e+37,4.30879108380599e+37,8.69603665869274e+37,1168018803.88639,297409951.501003,402813416.451469,214.83631218759,52.8826842723361,1345003001,NRCB,30,6.005,-0.57301044096452
